Id,Cultivo,Longitud,Latitud,Elevacion,Dataset,Campania,GlobalId
136,S,-62.06779050435668,-33.84410415819903,106.13662,BC,18/19,136
140,S,-62.07506189337495,-33.87771757193441,108.077408,BC,18/19,140
143,M,-62.08474164053938,-33.87275715676789,105.42748999999999,BC,18/19,143
144,S,-62.08261116987162,-33.8709113472958,105.42748999999999,BC,18/19,144
149,N,-62.09405087106593,-33.935145090274446,107.806816,BC,18/19,149
150,N,-62.089326783933046,-33.93860334364879,107.806816,BC,18/19,150
151,S,-62.08955835683172,-33.933454337505886,107.84413899999998,BC,18/19,151
153,S,-62.11827339626688,-33.910126208953216,106.668472,BC,18/19,153
159,S,-62.10535162852106,-33.92500007013646,110.14881899999999,BC,18/19,159
163,M,-62.06255695684671,-33.91888941814297,114.67420200000001,BC,18/19,163
164,M,-62.05963913832347,-33.92273264664109,114.67420200000001,BC,18/19,164
165,S,-62.05829601551118,-33.9167371344596,113.80645,BC,18/19,165
166,S,-62.054451905393236,-33.92054202764304,113.80645,BC,18/19,166
168,S,-62.05070042443479,-33.91915844978084,114.954124,BC,18/19,168
169,S,-62.08738157158422,-33.93222467804372,109.83157299999999,BC,18/19,169
170,S,-62.08363009062575,-33.93552934758551,109.83157299999999,BC,18/19,170
172,S,-62.07918389097127,-33.932147823737786,115.71923799999999,BC,18/19,172
173,S,-62.07779445357925,-33.92695999774648,118.956993,BC,18/19,173
174,S,-62.07478400589653,-33.92991901869586,118.956993,BC,18/19,174
175,S,-62.07181987279355,-33.923462840456565,116.65231299999999,BC,18/19,175
176,S,-62.06922625632844,-33.927536438461274,116.65231299999999,BC,18/19,176
177,S,-61.996350265116774,-33.64507642496248,112.910706,BC,18/19,177
179,M,-61.9999164877563,-33.642608791437866,115.187393,BC,18/19,179
181,M,-62.00283430627957,-33.6380203473418,118.033257,BC,18/19,181
183,M,-62.00487214778786,-33.634164322903835,117.23081200000001,BC,18/19,183
185,M,-61.96735733820318,-33.68169704169648,110.708656,BC,18/19,185
186,S,-61.963189026027116,-33.679037753506066,110.708656,BC,18/19,186
187,S,-61.98731892206862,-33.65698947291287,109.20642099999999,BC,18/19,187
188,S,-61.98213168913839,-33.655293217252286,109.20642099999999,BC,18/19,188
189,S,-61.98977359479453,-33.654445076883675,108.1987,BC,18/19,189
191,S,-61.99283035705698,-33.65028135747624,107.85347,BC,18/19,191
195,S,-62.014598209532025,-33.61129455079807,111.21251699999999,BC,18/19,195
196,S,-62.01066147025462,-33.608864521870565,111.21251699999999,BC,18/19,196
197,M,-62.020155959100116,-33.60419713133355,107.013702,BC,18/19,197
198,S,-62.0146908386915,-33.603117038019576,107.013702,BC,18/19,198
199,M,-62.02177696939082,-33.601612599785845,106.556503,BC,18/19,199
200,S,-62.017238140576865,-33.59987667690087,106.556503,BC,18/19,200
201,aa,-62.00755839341244,-33.63019243723589,119.36753799999998,BC,18/19,201
202,S,-62.00260273338088,-33.627955760816576,119.36753799999998,BC,18/19,202
203,aa,-62.00945729118153,-33.62722304384402,121.615204,BC,18/19,203
205,S,-62.012050907646646,-33.62429211363415,121.70021799999999,BC,18/19,205
207,P,-62.0122361659656,-33.61596155708259,115.95250700000001,BC,18/19,207
209,M,-62.039677554458066,-33.81980888823778,110.932594,BC,18/19,209
212,S,-62.03022938019231,-33.818308241396736,104.839653,BC,18/19,212
213,S,-62.02617685446557,-33.81195905957564,104.438438,BC,18/19,213
214,S,-62.02578318053782,-33.81580710481694,104.438438,BC,18/19,214
215,S,-62.02177696939083,-33.809977248749014,107.10701,BC,18/19,215
217,X,-62.0673505158492,-33.838564751905324,105.07292199999999,BC,18/19,217
219,X,-62.05827285822134,-33.82750409930627,104.167847,BC,18/19,219
220,N,-62.05424348978445,-33.82963939762669,104.167847,BC,18/19,220
221,N,-62.05051516611586,-33.82377200842254,109.07578999999998,BC,18/19,221
222,N,-62.04935730162249,-33.826407574039074,109.07578999999998,BC,18/19,222
224,N,-62.04474900093894,-33.82583044982896,110.05551100000001,BC,18/19,224
226,S,-62.01084672857359,-33.789579246979685,100.27694699999999,BC,18/19,226
227,X,-62.010454,-33.783648,95.07975,BC,18/19,227
228,S,-62.010454,-33.783648,95.07975,BC,18/19,228
233,R,-62.016010804213934,-33.80695634198545,103.87859300000001,BC,18/19,233
234,S,-62.014111906444825,-33.809188359820546,103.87859300000001,BC,18/19,234
235,M,-62.00751207883271,-33.80266531655731,104.32646899999999,BC,18/19,235
236,X,-62.007766809021255,-33.80605197335659,104.32646899999999,BC,18/19,236
237,M,-62.00734997780365,-33.80135679962564,104.2145,BC,18/19,237
238,X,-62.00376059787426,-33.79937474322885,104.2145,BC,18/19,238
239,S,-62.01100882960265,-33.797873737940165,103.066826,BC,18/19,239
242,S,-61.976434995831106,-33.57749943232254,104.261154,BC,18/19,242
246,S,-61.97129407748063,-33.584328965406044,104.158516,BC,18/19,246
249,M,-61.98282640783442,-33.558011070855926,105.810043,BC,18/19,249
251,M,-61.98060330800718,-33.560481126399935,104.904968,BC,18/19,251
256,S,-61.97773180406367,-33.573872228925964,99.978363,BC,18/19,256
258,M,-61.979329657064504,-33.546132590743426,108.665237,BC,18/19,258
263,M,-61.95874282637267,-33.54101787623283,109.477005,BC,18/19,263
271,M,-61.984609519154176,-33.544646459613574,108.59992199999999,BC,18/19,271
274,S,-62.030854627018726,-33.57807822727298,105.987328,BC,18/19,274
276,S,-62.03460610797719,-33.57364070012989,103.682648,BC,18/19,276
278,S/M,-62.032336693570215,-33.5725988128629,109.66362,BC,18/19,278
281,M,-62.02613053988585,-33.597253438242824,108.366653,BC,18/19,281
284,S,-62.02103593611509,-33.58822580140337,105.912682,BC,18/19,284
285,S,-62.03187354777288,-33.58857303567473,110.120827,BC,18/19,285
286,S,-62.025435821189824,-33.583750212376806,110.120827,BC,18/19,286
287,S,-62.03493031003532,-33.58351871007823,105.63276699999999,BC,18/19,287
292,S,-61.99093145928789,-33.55256898049552,108.973152,BC,18/19,292
293,S,-61.9875504949673,-33.551295250263394,110.307442,BC,18/19,293
295,S,-61.98467899102378,-33.555270770336826,107.30295600000001,BC,18/19,295
297,S,-62.021406452752956,-33.562024875242706,110.13015700000001,BC,18/19,297
298,S,-62.01733076973635,-33.566501590836076,110.13015700000001,BC,18/19,298
301,S,-62.01177302016825,-33.55708478181532,107.61086999999999,BC,18/19,301
303,S,-62.00468688946892,-33.55411287075166,110.307442,BC,18/19,303
306,N,-61.919444905468254,-33.67764063073843,103.066826,BC,18/19,306
308,N,-61.92525738522489,-33.680377042984645,103.281425,BC,18/19,308
309,M,-61.92497949774648,-33.55553129560459,109.644958,BC,18/19,309
310,X,-61.929217281792155,-33.557403194793466,109.644958,BC,18/19,310
316,M,-61.8962876156012,-33.60258663009955,107.536224,BC,18/19,316
318,S,-61.95691340047318,-33.54678879635486,107.55488600000001,BC,18/19,318
321,S,-61.94065698298649,-33.545071071115736,112.47216,BC,18/19,321
322,X,-61.942833768233996,-33.54810119262814,112.47216,BC,18/19,322
323,S,-61.92984252861857,-33.54895037959495,110.232796,BC,18/19,323
327,S,-61.89732969364521,-33.67041377128443,103.822609,BC,18/19,327
328,M,-61.90013172571912,-33.66632791802778,103.822609,BC,18/19,328
329,S,-61.90073381525567,-33.67369002282455,104.755676,BC,18/19,329
330,S,-61.90501791388108,-33.670124684274136,104.755676,BC,18/19,330
331,S,-61.90693996894005,-33.67686979466611,104.513077,BC,18/19,331
333,S,-61.86988830515273,-33.6255358429082,102.049774,BC,18/19,333
340,M,-61.885565790392725,-33.65879170791608,105.42748999999999,BC,18/19,340
342,M,-61.79064405922764,-33.846546768413674,100.332932,BC,18/19,342
345,S,-61.806344701757524,-33.87473751212604,92.924362,BC,18/19,345
346,S,-61.810837215991725,-33.872622567842996,92.924362,BC,18/19,346
347,S,-61.72209848122111,-33.839584183495695,105.455482,BC,18/19,347
348,S,-61.72311740197527,-33.84404645790088,105.455482,BC,18/19,348
349,S,-61.70764833234409,-33.842315430838674,103.328079,BC,18/19,349
350,M,-61.7084819947793,-33.84635443943345,103.328079,BC,18/19,350
353,M,-61.70838936561982,-33.838545517230116,101.349976,BC,18/19,353
360,S,-61.74984091448188,-33.8381223532806,102.049774,BC,18/19,360
361,S,-61.739049617403815,-33.83773765696285,102.628281,BC,18/19,361
362,S,-61.739744336099825,-33.84019968347403,102.628281,BC,18/19,362
364,S,-61.90860729381047,-33.809457737345674,106.98571000000001,BC,18/19,364
366,S,-61.89985383824073,-33.81099702121874,104.737015,BC,18/19,366
367,M,-61.88683944133543,-33.80968863169215,101.452614,BC,18/19,367
368,S,-61.89031303481549,-33.81334437580361,101.452614,BC,18/19,368
370,S,-61.87669654837367,-33.814999029675015,100.519547,BC,18/19,370
375,S,-61.937345490535506,-33.797161713406226,101.21934499999999,BC,18/19,375
377,S,-61.91953753462774,-33.80418548022191,105.65142800000001,BC,18/19,377
378,S,-61.92000068042507,-33.806032731367004,105.65142800000001,BC,18/19,378
379,M,-61.80087958134889,-33.825080182532155,103.440048,BC,18/19,379
382,M,-61.79383976522929,-33.830889772785184,103.21611800000001,BC,18/19,382
386,s,-61.78397475974593,-33.834890850394146,104.662369,BC,18/19,386
388,S,-61.8706293384285,-33.815807104816926,96.619316,BC,18/19,388
391,S,-61.827186262637866,-33.81992432151954,105.418159,BC,18/19,391
394,M,-61.81653390929902,-33.82623443718505,103.524025,BC,18/19,394
396,M,-61.699358022571666,-33.776240944475624,97.766991,BC,18/19,396
399,M,-61.695699170772656,-33.76757859673393,98.177544,BC,18/19,399
400,S,-61.69217926271287,-33.77273761153162,98.177544,BC,18/19,400
401,M,-61.6900487920451,-33.764729455431315,98.168213,BC,18/19,401
402,M,-61.68685308604346,-33.769503638583544,98.168213,BC,18/19,402
404,S,-61.72297845823609,-33.788828661744716,101.919151,BC,18/19,404
407,M,-61.715799698377296,-33.77966714251294,100.706161,BC,18/19,407
409,S,-61.70908408431584,-33.775009019552044,98.168213,BC,18/19,409
411,M,-61.65786015912989,-33.74736304655037,94.911797,BC,18/19,411
413,M,-61.652858184518614,-33.74462876812374,94.351959,BC,18/19,413
414,S,-61.647624637008654,-33.748710898202674,94.351959,BC,18/19,414
415,S,-61.64535522260168,-33.74039238996242,95.872856,BC,18/19,415
416,S,-61.64132585416481,-33.74451323331296,95.872856,BC,18/19,416
417,S,-61.64039956257012,-33.737850462634604,94.613213,BC,18/19,417
419,S,-61.682823717606595,-33.76060958361329,97.822975,BC,18/19,419
420,S,-61.67786805757503,-33.765037475273964,97.822975,BC,18/19,420
421,S,-61.675783901486994,-33.75722112941229,98.065575,BC,18/19,421
422,R,-61.672680824644814,-33.76091761826243,98.065575,BC,18/19,422
423,S,-61.672125049688,-33.75448716532757,99.922379,BC,18/19,423
424,R,-61.66883671452688,-33.75899238354381,99.922379,BC,18/19,424
425,S,-61.66258424626277,-33.74978916427142,96.964554,BC,18/19,425
427,M,-61.71691124829089,-33.829312373414396,97.08584599999999,BC,18/19,427
429,M,-61.719551179335745,-33.826080537464925,95.966164,BC,18/19,429
430,S,-61.71589232753674,-33.823541152090364,95.966164,BC,18/19,430
432,M,-61.718578573161324,-33.81907780716845,97.91628299999999,BC,18/19,432
433,P,-61.727517287050006,-33.81673060991713,95.807549,BC,18/19,433
435,P,-61.7090377697361,-33.837660717491524,101.788521,BC,18/19,435
436,M,-61.70611995121286,-33.83542944269318,101.788521,BC,18/19,436
437,S,-61.71079772376599,-33.836622027849245,103.83194,BC,18/19,437
438,M,-61.70755570318462,-33.83431378345054,103.83194,BC,18/19,438
439,M,-61.71232610489722,-33.83462155297195,103.44937900000001,BC,18/19,439
440,M,-61.70806516356168,-33.833236581398786,103.44937900000001,BC,18/19,440
441,M,-61.71385448602845,-33.83335199655364,101.07938399999999,BC,18/19,441
442,S,-61.71028826338892,-33.83115908196409,101.07938399999999,BC,18/19,442
443,G,-61.73613179888056,-33.804070025701286,103.496033,BC,18/19,443
444,S,-61.733028722038384,-33.8021457607587,103.496033,BC,18/19,444
446,S,-61.73423290111146,-33.800567831219304,103.038834,BC,18/19,446
447,S,-61.737335977953656,-33.7921003953677,106.164612,BC,18/19,447
449,S,-61.731592970066615,-33.787904855499875,102.077766,BC,18/19,449
450,M,-61.72913829734071,-33.790714735213236,102.077766,BC,18/19,450
455,m,-61.733908699053316,-33.80784145947295,98.840019,BC,18/19,455
457,S,-61.73557602392375,-33.805724858945425,102.96418800000001,BC,18/19,457
458,S,-61.731685599226076,-33.803608206061156,102.96418800000001,BC,18/19,458
463,P,-61.4090350795082,-33.64451735793893,79.040291,BC,18/19,463
466,P,-61.3989153438363,-33.64399684399826,78.974976,BC,18/19,466
468,S,-61.54976193003039,-33.684799440623,101.452614,BC,18/19,468
469,S,-61.54647359486928,-33.67720703629805,100.071671,BC,18/19,469
472,S,-61.536469645646704,-33.680251786579625,92.849716,BC,18/19,472
473,X,-61.52113951975471,-33.671232845870236,82.856544,BC,18/19,473
475,S,-61.36332258931062,-33.62490915985921,95.26636500000001,BC,18/19,475
477,S,-61.35183657353655,-33.62082114627712,95.499634,BC,18/19,477
478,S,-61.349891361187716,-33.62359793134861,95.499634,BC,18/19,478
479,S,-61.34831666547677,-33.618892770662605,96.843254,BC,18/19,479
480,S,-61.34595462191032,-33.62174675124383,96.843254,BC,18/19,480
481,S,-61.34113790561796,-33.616964351895234,98.905334,BC,18/19,481
483,P,-61.398845871966685,-33.638887929046014,82.59528399999999,BC,18/19,483
487,R,-61.38124633166772,-33.62945973928785,91.095543,BC,18/19,487
488,R,-61.37837482772421,-33.63466561584435,91.095543,BC,18/19,488
490,S,-61.36804667644349,-33.63069375329364,92.69109300000001,BC,18/19,490
494,M,-61.618214878877446,-33.716163990913,95.415657,BC,18/19,494
495,S,-61.60362578626121,-33.703411482756984,96.302071,BC,18/19,495
500,S,-61.633683948508654,-33.73981468582008,91.59940300000001,BC,18/19,500
503,S,-61.63122927578275,-33.72748940400825,89.313385,BC,18/19,503
504,M,-61.62770936772295,-33.73049385463057,89.313385,BC,18/19,504
509,M,-61.57347499485428,-33.68772831077182,99.586472,BC,18/19,509
510,S,-61.571715040824394,-33.69007904224589,99.586472,BC,18/19,510
511,X,-61.566759380792824,-33.68298811572091,98.951988,BC,18/19,511
512,M,-61.56263738319649,-33.685917047586386,98.951988,BC,18/19,512
513,S,-61.56055322710846,-33.680714270860356,99.082619,BC,18/19,513
514,S,-61.55647754409186,-33.68676487765874,99.082619,BC,18/19,514
516,S,-61.59116716431272,-33.70194732741423,96.15277900000001,BC,18/19,516
518,S,-61.58843460410843,-33.69855655607277,96.39537800000001,BC,18/19,518
519,S,-61.58602624596224,-33.69354721717267,97.151161,BC,18/19,519
520,S,-61.583710516975536,-33.69636018958427,97.151161,BC,18/19,520
523,M,-61.31802693033063,-33.608054497005874,95.229042,BC,18/19,523
525,S,-61.315618572184455,-33.607745914103035,92.243217,BC,18/19,525
528,S,-61.30987556429741,-33.61090883649431,90.84362,BC,18/19,528
529,M,-61.31006082261635,-33.60709017176716,89.565315,BC,18/19,529
532,M,-61.332616022946894,-33.61920131366084,98.812027,BC,18/19,532
536,S,-61.324788858971814,-33.6139173622916,97.822975,BC,18/19,536
539,S,-61.30663354371602,-33.606472997953695,91.543419,BC,18/19,539
540,S,-61.304317814729316,-33.60925024532154,91.543419,BC,18/19,540
541,M,-61.81032775561465,-33.88123583116781,96.208763,BC,18/19,541
542,S,-61.8159318197625,-33.878659633709205,96.208763,BC,18/19,542
543,M,-61.81370871993524,-33.88577282562848,97.655022,BC,18/19,543
544,S,-61.82000750277909,-33.88235087759093,97.655022,BC,18/19,544
546,S,-61.822554804664456,-33.88596506582826,98.662735,BC,18/19,546
547,M,-61.81847912164786,-33.89238563963026,100.920761,BC,18/19,547
548,S,-61.82352741083888,-33.89007890227289,100.920761,BC,18/19,548
550,M,-61.78605891583396,-33.840853647343714,104.233162,BC,18/19,550
1,X,-61.898290468006785,-33.5994981626966,106.229927,BC,19/20,551
4,S,-61.89509476200511,-33.592631250669825,103.75729399999999,BC,19/20,554
5,X,-61.90648814861971,-33.5885417062615,105.558121,BC,19/20,555
7,X,-61.87508686355997,-33.629968308229124,104.065208,BC,19/20,557
9,X,-61.883377173332384,-33.61893858814513,105.166229,BC,19/20,559
11,M,-61.88606341895696,-33.614657442321786,106.01531999999999,BC,19/20,561
12,S,-61.879903579852325,-33.61153322872211,106.01531999999999,BC,19/20,562
14,M,-61.884905554463614,-33.60586307036931,107.200317,BC,19/20,564
16,S,-61.92010463506155,-33.56017962780671,104.765007,BC,19/20,566
18,S,-61.92024357880074,-33.55508504306499,107.89079299999999,BC,19/20,568
21,M,-61.827869149521035,-33.65231265964186,107.508232,BC,19/20,571
22,X,-61.83175957421869,-33.65437521936413,107.508232,BC,19/20,572
23,X,-61.90871124844695,-33.58468346778809,104.848984,BC,19/20,573
24,S,-61.90324612803832,-33.582291273291986,104.848984,BC,19/20,574
26,S,-61.90875756302668,-33.57391807033073,112.41617600000001,BC,19/20,576
27,X,-61.91718681653828,-33.572721832168746,109.747597,BC,19/20,577
28,M,-61.91213852734728,-33.570367895770914,109.747597,BC,19/20,578
29,M,-61.92214247656985,-33.56766657819572,105.819374,BC,19/20,579
30,S,-61.91639946868281,-33.56427051619237,105.819374,BC,19/20,580
35,N,-61.92575501378912,-33.679892895841725,102.982849,BC,19/20,585
36,N,-61.919687803843956,-33.685943560450056,102.982849,BC,19/20,586
37,N,-61.92223510572934,-33.67831271584891,103.160133,BC,19/20,587
38,S,-61.91519528960975,-33.68255215758194,103.160133,BC,19/20,588
41,M,-62.0837720376925,-33.69218015276815,111.90298500000002,BC,19/20,591
42,M,-62.084605700127725,-33.694665631573685,111.90298500000002,BC,19/20,592
43,M,-62.063694667377604,-33.69622624431428,111.865669,BC,19/20,593
44,M,-62.064505172522956,-33.69796022522685,111.865669,BC,19/20,594
45,M,-62.06008213015831,-33.6964959769768,112.59346000000001,BC,19/20,595
46,s,-62.0614252529706,-33.69840334806814,112.59346000000001,BC,19/20,596
47,M,-61.89356638087392,-33.662278027983746,104.37312299999999,BC,19/20,597
48,S,-61.88884229374103,-33.66786738117199,104.37312299999999,BC,19/20,598
49,S,-61.88786968756661,-33.657883384970496,104.102531,BC,19/20,599
50,S,-61.88370137539054,-33.663203187384426,104.102531,BC,19/20,600
51,M,-61.88106144434568,-33.65576308219632,104.046547,BC,19/20,601
52,s,-61.87619841347361,-33.66166124952288,104.046547,BC,19/20,602
53,S,-61.874392144863975,-33.65279457054441,106.211266,BC,19/20,603
54,S,-61.87017751810818,-33.657459328595195,106.211266,BC,19/20,604
55,M,-61.91672367074096,-33.674612668600545,104.92363,BC,19/20,605
57,M,-61.91394479595693,-33.673148022581614,105.11024499999999,BC,19/20,607
58,S,-61.90996174209978,-33.67854396351553,105.11024499999999,BC,19/20,608
59,M,-61.91042488789712,-33.67141354108796,103.663986,BC,19/20,609
60,S,-61.905515542445286,-33.6756147804511,103.663986,BC,19/20,610
61,m,-61.904450307111404,-33.669524843678644,102.805565,BC,19/20,611
62,S,-61.899818849138015,-33.67399597858034,102.805565,BC,19/20,612
70,N,-62.090455810480286,-33.77236797867533,100.678169,BC,19/20,620
71,S,-61.776761010784426,-33.71925312504545,94.58521999999999,BC,19/20,621
72,S,-61.78060512090236,-33.72019693257936,94.58521999999999,BC,19/20,622
74,S,-61.775672618160684,-33.72572473975726,94.594551,BC,19/20,624
79,P,-62.11790877761789,-33.786775061780425,101.424622,BC,19/20,629
80,S,-62.11893927701697,-33.785148732196,101.424622,BC,19/20,630
81,M,-62.12999688292857,-33.791442167474216,102.283043,BC,19/20,631
83,P,-62.13576883742798,-33.79328488245098,102.758911,BC,19/20,633
86,M,-62.14426177348675,-33.79377562492125,103.11348000000001,BC,19/20,636
87,P,-62.09570093663522,-33.777334220883425,100.38891600000001,BC,19/20,637
88,P,-62.097414576085384,-33.77574620962789,100.38891600000001,BC,19/20,638
90,P,-62.100633439376935,-33.77771918887567,100.594193,BC,19/20,640
92,P,-62.10678169983668,-33.78109720880623,100.06234,BC,19/20,642
94,S,-62.113416263383655,-33.78330103033805,100.986076,BC,19/20,644
95,S,-61.81281691110743,-33.6713557244357,102.926865,BC,19/20,645
96,S,-61.817378897211256,-33.673514186424946,102.926865,BC,19/20,646
97,S,-61.81105695707754,-33.67364908850053,102.562965,BC,19/20,647
98,S,-61.815688415050964,-33.675499152756636,102.562965,BC,19/20,648
99,P,-61.80915805930843,-33.676096560837735,102.292374,BC,19/20,649
100,P,-61.81316427045544,-33.678158550392304,102.292374,BC,19/20,650
101,P,-61.80691180219132,-33.67925697323903,101.741867,BC,19/20,651
103,S,-61.8222650853732,-33.658615841060154,106.89241000000001,BC,19/20,653
104,M,-61.82712811624528,-33.66052405264405,106.89241000000001,BC,19/20,654
105,S,-61.8187451773134,-33.66326100951663,104.774338,BC,19/20,655
110,S,-61.81842097525527,-33.67185680079717,103.393394,BC,19/20,660
111,M,-61.795124741649005,-33.693747132701375,101.816513,BC,19/20,661
112,M,-61.79970988504269,-33.696059166180895,101.816513,BC,19/20,662
113,S,-61.79192903564734,-33.69848673438068,101.172691,BC,19/20,663
115,X,-61.7875291505726,-33.70324533968982,99.455849,BC,19/20,665
116,S,-61.79151220442976,-33.70565344030444,99.455849,BC,19/20,666
118,S,-61.785120792426454,-33.714476144088145,95.55561800000001,BC,19/20,668
119,S,-61.803739253479534,-33.68199333404279,102.432335,BC,19/20,669
120,M,-61.809227531178045,-33.684151529014336,102.432335,BC,19/20,670
121,S,-61.80112247972457,-33.68603990516791,101.256668,BC,19/20,671
122,M,-61.806726543872394,-33.688564098296645,101.256668,BC,19/20,672
124,P,-61.804225556566756,-33.6908762712229,102.264381,BC,19/20,674
125,M,-61.797046796707974,-33.69099187823634,101.947144,BC,19/20,675
126,X,-61.80186351300033,-33.69363152939444,101.947144,BC,19/20,676
127,P,-62.172698925443676,-33.868181933588005,104.78366899999999,BC,19/20,677
