GlobalId,Cultivo,Latitud,Longitud,Campania,best_q,best_q2
198,S,-33.60311704,-62.01469084,18/19,2,1
200,S,-33.59987668,-62.01723814,18/19,4,3
202,S,-33.62795576,-62.00260273,18/19,3,4
205,S,-33.62429211,-62.01205091,18/19,3,4
212,S,-33.81830824,-62.03022938,18/19,3,4
213,S,-33.81195906,-62.02617685,18/19,3,4
214,S,-33.8158071,-62.02578318,18/19,3,4
215,S,-33.80997725,-62.02177697,18/19,4,3
226,S,-33.78957925,-62.01084673,18/19,4,5
228,S,-33.783648,-62.010454,18/19,1,2
234,S,-33.80918836,-62.01411191,18/19,1,2
239,S,-33.79787374,-62.01100883,18/19,4,5
242,S,-33.57749943,-61.976435,18/19,2,1
246,S,-33.58432897,-61.97129408,18/19,3,4
256,S,-33.57387223,-61.9777318,18/19,2,3
274,S,-33.57807823,-62.03085463,18/19,3,2
276,S,-33.5736407,-62.03460611,18/19,2,3
284,S,-33.5882258,-62.02103594,18/19,1,2
285,S,-33.58857304,-62.03187355,18/19,3,4
286,S,-33.58375021,-62.02543582,18/19,3,4
287,S,-33.58351871,-62.03493031,18/19,3,4
292,S,-33.55256898,-61.99093146,18/19,2,3
293,S,-33.55129525,-61.98755049,18/19,3,2
295,S,-33.55527077,-61.98467899,18/19,3,4
297,S,-33.56202488,-62.02140645,18/19,3,4
298,S,-33.56650159,-62.01733077,18/19,4,3
301,S,-33.55708478,-62.01177302,18/19,3,4
303,S,-33.55411287,-62.00468689,18/19,3,4
318,S,-33.5467888,-61.9569134,18/19,4,3
321,S,-33.54507107,-61.94065698,18/19,3,4
323,S,-33.54895038,-61.92984253,18/19,3,4
327,S,-33.67041377,-61.89732969,18/19,3,4
329,S,-33.67369002,-61.90073382,18/19,3,4
330,S,-33.67012468,-61.90501791,18/19,4,5
331,S,-33.67686979,-61.90693997,18/19,3,4
333,S,-33.62553584,-61.86988831,18/19,4,5
346,S,-33.87262257,-61.81083722,18/19,4,5
347,S,-33.83958418,-61.72209848,18/19,4,5
348,S,-33.84404646,-61.7231174,18/19,4,3
349,S,-33.84231543,-61.70764833,18/19,4,3
360,S,-33.83812235,-61.74984091,18/19,3,4
361,S,-33.83773766,-61.73904962,18/19,4,3
362,S,-33.84019968,-61.73974434,18/19,4,3
364,S,-33.80945774,-61.90860729,18/19,4,5
366,S,-33.81099702,-61.89985384,18/19,4,3
368,S,-33.81334438,-61.89031303,18/19,4,3
370,S,-33.81499903,-61.87669655,18/19,3,4
375,S,-33.79716171,-61.93734549,18/19,4,5
377,S,-33.80418548,-61.91953753,18/19,3,4
378,S,-33.80603273,-61.92000068,18/19,3,4
388,S,-33.8158071,-61.87062934,18/19,3,4
391,S,-33.81992432,-61.82718626,18/19,4,3
400,S,-33.77273761,-61.69217926,18/19,4,3
404,S,-33.78882866,-61.72297846,18/19,4,3
409,S,-33.77500902,-61.70908408,18/19,4,5
414,S,-33.7487109,-61.64762464,18/19,4,5
415,S,-33.74039239,-61.64535522,18/19,3,4
416,S,-33.74451323,-61.64132585,18/19,4,3
417,S,-33.73785046,-61.64039956,18/19,3,4
419,S,-33.76060958,-61.68282372,18/19,4,5
420,S,-33.76503748,-61.67786806,18/19,4,3
421,S,-33.75722113,-61.6757839,18/19,3,4
423,S,-33.75448717,-61.67212505,18/19,4,3
425,S,-33.74978916,-61.66258425,18/19,4,3
430,S,-33.82354115,-61.71589233,18/19,4,5
437,S,-33.83662203,-61.71079772,18/19,4,3
442,S,-33.83115908,-61.71028826,18/19,4,5
444,S,-33.80214576,-61.73302872,18/19,4,3
446,S,-33.80056783,-61.7342329,18/19,4,3
447,S,-33.7921004,-61.73733598,18/19,4,3
449,S,-33.78790486,-61.73159297,18/19,4,5
457,S,-33.80572486,-61.73557602,18/19,4,3
458,S,-33.80360821,-61.7316856,18/19,4,3
468,S,-33.68479944,-61.54976193,18/19,3,4
469,S,-33.67720704,-61.54647359,18/19,4,3
472,S,-33.68025179,-61.53646965,18/19,3,4
475,S,-33.62490916,-61.36332259,18/19,4,3
477,S,-33.62082115,-61.35183657,18/19,4,3
478,S,-33.62359793,-61.34989136,18/19,1,2
479,S,-33.61889277,-61.34831667,18/19,4,5
480,S,-33.62174675,-61.34595462,18/19,4,3
481,S,-33.61696435,-61.34113791,18/19,3,4
490,S,-33.63069375,-61.36804668,18/19,4,5
495,S,-33.70341148,-61.60362579,18/19,4,5
500,S,-33.73981469,-61.63368395,18/19,4,3
503,S,-33.7274894,-61.63122928,18/19,4,3
510,S,-33.69007904,-61.57171504,18/19,3,4
513,S,-33.68071427,-61.56055323,18/19,4,3
514,S,-33.68676488,-61.55647754,18/19,3,4
516,S,-33.70194733,-61.59116716,18/19,4,3
518,S,-33.69855656,-61.5884346,18/19,3,4
519,S,-33.69354722,-61.58602625,18/19,4,3
520,S,-33.69636019,-61.58371052,18/19,4,3
525,S,-33.60774591,-61.31561857,18/19,4,3
528,S,-33.61090884,-61.30987556,18/19,4,3
536,S,-33.61391736,-61.32478886,18/19,4,3
539,S,-33.606473,-61.30663354,18/19,4,3
540,S,-33.60925025,-61.30431781,18/19,4,3
542,S,-33.87865963,-61.81593182,18/19,3,4
544,S,-33.88235088,-61.8200075,18/19,3,4
546,S,-33.88596507,-61.8225548,18/19,4,5
548,S,-33.8900789,-61.82352741,18/19,3,4
554,S,-33.59263125,-61.89509476,19/20,4,5
562,S,-33.61153323,-61.87990358,19/20,3,4
566,S,-33.56017963,-61.92010464,19/20,3,2
568,S,-33.55508504,-61.92024358,19/20,3,4
574,S,-33.58229127,-61.90324613,19/20,4,5
576,S,-33.57391807,-61.90875756,19/20,4,5
580,S,-33.56427052,-61.91639947,19/20,4,3
588,S,-33.68255216,-61.91519529,19/20,4,5
598,S,-33.66786738,-61.88884229,19/20,4,3
599,S,-33.65788338,-61.88786969,19/20,3,4
600,S,-33.66320319,-61.88370138,19/20,4,3
603,S,-33.65279457,-61.87439214,19/20,3,4
604,S,-33.65745933,-61.87017752,19/20,4,5
608,S,-33.67854396,-61.90996174,19/20,4,5
610,S,-33.67561478,-61.90551554,19/20,4,5
612,S,-33.67399598,-61.89981885,19/20,4,5
621,S,-33.71925313,-61.77676101,19/20,4,3
622,S,-33.72019693,-61.78060512,19/20,3,4
624,S,-33.72572474,-61.77567262,19/20,3,4
630,S,-33.78514873,-62.11893928,19/20,4,3
644,S,-33.78330103,-62.11341626,19/20,2,3
645,S,-33.67135572,-61.81281691,19/20,3,4
646,S,-33.67351419,-61.8173789,19/20,1,2
647,S,-33.67364909,-61.81105696,19/20,3,2
648,S,-33.67549915,-61.81568842,19/20,3,4
653,S,-33.65861584,-61.82226509,19/20,1,2
655,S,-33.66326101,-61.81874518,19/20,3,2
660,S,-33.6718568,-61.81842098,19/20,1,2
663,S,-33.69848673,-61.79192904,19/20,4,5
666,S,-33.70565344,-61.7915122,19/20,4,5
668,S,-33.71447614,-61.78512079,19/20,4,5
669,S,-33.68199333,-61.80373925,19/20,4,5
671,S,-33.68603991,-61.80112248,19/20,4,5
682,S,-33.87247928,-62.16206973,19/20,3,4
685,S,-33.86376899,-62.19464046,19/20,3,2
691,S,-33.86641294,-62.18217026,19/20,3,4
696,S,-33.88390419,-62.14146553,19/20,3,4
698,S,-33.88675897,-62.1361162,19/20,4,5
713,S,-33.82056974,-62.18147554,19/20,4,3
717,S,-33.80012616,-62.14523438,19/20,3,2
718,S,-33.79827878,-62.14995847,19/20,3,2
720,S,-33.80158864,-62.15359416,19/20,3,2
723,S,-33.80997817,-62.16010136,19/20,3,2
729,S,-33.86302867,-62.20104345,19/20,3,2
730,S,-33.86518231,-62.20192343,19/20,3,4
740,S,-33.83270851,-62.21065372,19/20,3,2
756,S,-33.83971494,-62.0630781,19/20,3,4
760,S,-33.79835094,-61.99133682,19/20,4,5
765,S,-33.82009358,-62.04024502,19/20,2,3
767,S,-33.81728467,-62.03556724,19/20,3,4
769,S,-33.81528374,-62.03181576,19/20,3,4
770,S,-33.81828511,-62.03024107,19/20,3,4
771,S,-33.81432174,-62.02954635,19/20,3,4
772,S,-33.81609181,-62.02611907,19/20,4,5
775,S,-33.90574038,-62.12083239,19/20,4,5
778,S,-33.915119,-62.12013767,19/20,3,4
780,S,-33.92126835,-62.11571462,19/20,4,3
783,S,-33.89499598,-62.12759431,19/20,4,3
784,S,-33.89572641,-62.13004899,19/20,3,2
786,S,-33.89793689,-62.12886797,19/20,2,3
796,S,-33.85656262,-62.07813034,19/20,3,4
800,S,-33.93427662,-62.10455281,19/20,4,3
809,S,-33.65582904,-62.28209975,19/20,3,2
814,S,-33.68605285,-62.13467176,19/20,4,5
815,S,-33.68992582,-62.09396125,19/20,3,4
817,S,-33.64599787,-62.30414549,19/20,3,2
821,S,-33.65012324,-62.29854143,19/20,3,2
826,S,-33.6018513,-61.8875918,19/20,4,5
830,S,-33.83495579,-61.77099485,19/20,4,5
831,S,-33.83424407,-61.75080169,19/20,4,3
832,S,-33.83803341,-61.75256164,19/20,4,3
835,S,-33.85001585,-61.6688712,19/20,4,3
843,S,-33.84630397,-61.69019906,19/20,3,2
844,S,-33.8483234,-61.69089378,19/20,3,4
846,S,-33.84936195,-61.68695704,19/20,4,3
861,S,-33.8054612,-61.91351096,19/20,4,5
864,S,-33.80892471,-61.90654061,19/20,4,5
866,S,-33.8248758,-61.82603972,19/20,4,3
868,S,-33.82654947,-61.8159663,19/20,3,4
869,S,-33.82452952,-61.80038145,19/20,4,3
870,S,-33.82880021,-61.80508238,19/20,3,4
871,S,-33.82485656,-61.79711627,19/20,4,3
880,S,-33.81958525,-61.85077171,19/20,3,4
882,S,-33.74401982,-61.36921587,19/20,4,5
885,S,-33.73077072,-61.35462677,19/20,4,5
886,S,-33.73500757,-61.34981006,19/20,3,4
895,S,-33.74371172,-61.3788493,19/20,4,3
900,S,-33.69463342,-61.33813878,19/20,4,3
911,S,-33.70233988,-61.33776827,19/20,3,4
919,S,-33.80757931,-61.39436468,19/20,3,4
923,S,-33.82185542,-61.47120057,19/20,2,1
929,S,-33.7795204,-61.36162028,19/20,3,2
932,S,-33.77328383,-61.35976769,19/20,3,2
935,S,-33.76154092,-61.37560728,19/20,4,3
937,S,-33.80615542,-61.38399022,19/20,3,4
944,S,-33.77998234,-61.35434889,19/20,3,2
949,S,-33.63216637,-61.38686172,19/20,4,5
951,S,-33.63016112,-61.38056294,19/20,3,4
952,S,-33.63436438,-61.37857141,19/20,3,4
961,S,-33.61681733,-61.34119555,19/20,3,4
964,S,-33.61188037,-61.31030372,19/20,4,3
970,S,-33.62534063,-61.35481203,19/20,3,2
971,S,-33.62036559,-61.35277419,19/20,3,4
972,S,-33.62391371,-61.3502732,19/20,3,4
973,S,-33.83668696,-61.73996408,19/20,4,5
981,S,-33.82654947,-61.7908638,19/20,3,4
987,S,-33.49082193,-61.39251585,19/20,4,3
988,S,-33.49652225,-61.39216728,19/20,3,4
990,S,-33.49446882,-61.39980695,19/20,4,5
991,S,-33.49569621,-61.40208129,19/20,1,2
992,S,-33.49643373,-61.40405847,19/20,2,1
1010,S,-33.49530375,-61.48477395,19/20,4,3
1013,S,-33.4652933,-61.50983893,19/20,3,4
1015,S,-33.46342003,-61.52022068,19/20,4,3
1023,S,-33.47460937,-61.54183914,19/20,4,3
1032,S,-33.52047341,-61.61194575,19/20,4,3
1039,S,-33.53785449,-61.64100593,19/20,4,3
1045,S,-33.54898041,-61.67501208,19/20,4,3
1055,S,-33.56676211,-61.70706085,19/20,3,4
1057,S,-33.56984783,-61.71405627,19/20,3,4
1068,S,-33.60170914,-61.7611286,19/20,3,4
1069,S,-33.59869731,-61.7670061,19/20,3,4
1087,S,-33.62993599,-61.82569056,19/20,3,2
1089,S,-33.6382461,-61.82620459,19/20,1,2
1095,S,-33.65503111,-61.863376,19/20,2,3
1096,S,-33.65223364,-61.87250833,19/20,1,2
1099,S,-33.65684418,-61.88659005,19/20,4,3
1101,S,-33.667088,-61.88618111,19/20,4,5
1116,S,-33.73547275,-62.02706623,19/20,3,4
1117,S,-33.74649234,-62.02990035,19/20,3,4
1119,S,-33.7515344,-62.04037185,19/20,3,4
1122,S,-33.7586058,-62.05507752,19/20,3,4
1123,S,-33.75418243,-62.06071868,19/20,4,3
1144,S,-33.83340719,-62.21100807,19/20,3,2
1153,S,-33.86747749,-62.22095679,19/20,3,4
1155,S,-33.87933687,-62.22939907,19/20,3,2
1159,S,-33.89695123,-62.23388068,19/20,3,2
1161,S,-33.90950278,-62.23137938,19/20,3,2
1165,S,-33.92434968,-62.25382438,19/20,3,2
1168,S,-33.93774038,-62.26520141,19/20,3,2
1206,S,-34.10316065,-62.38865472,19/20,3,4
1207,S,-34.1080739,-62.38587122,19/20,3,4
1210,S,-34.11612651,-62.40243389,19/20,3,2
1220,S,-34.14247512,-62.44382057,19/20,2,3
1224,S,-34.1551607,-62.4645913,19/20,3,2
1228,S,-34.17558899,-62.50977678,19/20,3,2
1236,S,-34.20753989,-62.57104502,19/20,4,5
1244,S,-34.26048632,-62.66604212,19/20,1,2
1254,S,-34.31645249,-62.75141433,19/20,4,5
1260,S,-34.3166008,-62.79196007,19/20,4,5
1262,S,-34.3202159,-62.79742091,19/20,3,2
1266,S,-34.33320159,-62.82580958,19/20,4,5
1281,S,-34.33381,-62.06100015,19/20,4,5
1282,S,-34.33353543,-62.05547171,19/20,4,5
1284,S,-34.321977,-62.05774772,19/20,4,5
1291,S,-34.29353972,-62.03468385,19/20,3,4
1305,S,-34.20000129,-62.02717815,19/20,4,3
1306,S,-34.19642886,-62.02013157,19/20,4,5
1307,S,-34.18684085,-62.01496956,19/20,1,2
1314,S,-34.12905886,-62.00583314,19/20,3,4
1317,S,-34.105889,-62.00293114,19/20,4,5
1322,S,-34.08614514,-61.98697343,19/20,3,4
1329,S,-34.05437285,-61.95283714,19/20,3,4
1333,S,-34.03820171,-61.93539457,19/20,4,3
1344,S,-33.9891607,-61.89630945,19/20,4,5
1345,S,-33.98690685,-61.89420933,19/20,1,2
1354,S,-33.92951982,-61.84774858,19/20,4,5
1355,S,-33.92233578,-61.85027639,19/20,4,5
1356,S,-33.917992,-61.84743557,19/20,3,4
1359,S,-33.90900319,-61.83212909,19/20,3,4
1374,S,-33.82711586,-61.76721722,19/20,4,5
1375,S,-33.82300234,-61.75617047,19/20,4,3
1383,S,-33.78432522,-61.7252622,19/20,3,4
1384,S,-33.78662598,-61.71799001,19/20,4,3
1385,S,-33.77892974,-61.71845146,19/20,4,3
1389,S,-33.77749715,-61.69701196,19/20,1,2
1390,S,-33.77514828,-61.69390961,19/20,4,3
1393,S,-33.77038028,-61.68597255,19/20,4,5
1397,S,-33.75641182,-61.67560415,19/20,4,3
1399,S,-33.7592518,-61.66842453,19/20,4,5
1402,S,-33.75528512,-61.65822415,19/20,4,5
1404,S,-33.74728331,-61.65769452,19/20,4,5
1406,S,-33.74296006,-61.65207113,19/20,4,5
1409,S,-33.74186014,-61.63662063,19/20,4,5
1411,S,-33.73301556,-61.62965517,19/20,4,3
1419,S,-33.70868327,-61.60517831,19/20,3,2
1423,S,-33.70081411,-61.58898703,19/20,4,5
1429,S,-33.68993705,-61.5783824,19/20,4,5
1430,S,-33.69022143,-61.5718508,19/20,4,3
